ERROR:IS211_Assignment2:Error processing line i for ID id
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line i for ID id
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line i for ID id
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line i for ID id
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line i for ID id
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line i for ID id
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
ERROR:IS211_Assignment2:Error processing line 1 for ID 13
ERROR:IS211_Assignment2:Error processing line 2 for ID 27
ERROR:IS211_Assignment2:Error processing line 3 for ID 30
ERROR:IS211_Assignment2:Error processing line 4 for ID 47
ERROR:IS211_Assignment2:Error processing line 4 for ID 48
ERROR:IS211_Assignment2:Error processing line 6 for ID 67
ERROR:IS211_Assignment2:Error processing line 7 for ID 71
ERROR:IS211_Assignment2:Error processing line 7 for ID 78
ERROR:IS211_Assignment2:Error processing line 8 for ID 87
ERROR:IS211_Assignment2:Error processing line 9 for ID 93
